Date,Open,High,Low,Close,Volume,RSI,Signal,Equity
2022-12-05,6.400000095367432,6.400000095367432,5.599999904632568,5.699999809265137,1648980,30.379743473668327,0,2921.3761018952737
2022-12-06,5.699999809265137,5.699999809265137,5.349999904632568,5.550000190734863,1232240,29.999998807906962,1,2844.4979763635038
2022-12-07,5.449999809265137,5.599999904632568,5.175000190734863,5.300000190734863,1132620,32.876710539173544,0,2716.3674412910864
2022-12-08,5.349999904632568,5.550000190734863,5.150000095367432,5.400000095367432,1641440,36.61971812067556,0,2767.6196064421333
2022-12-09,5.349999904632568,5.349999904632568,4.965000152587891,5.0,1216900,34.21052565535007,0,2562.6107014483455
2022-12-12,5.0,5.050000190734863,4.824999809265137,5.050000190734863,684560,41.538464698566244,0,2588.2369062186694
2022-12-13,5.449999809265137,5.650000095367432,5.0,5.199999809265137,1857900,41.08526398231163,0,2665.115031750439
2022-12-14,5.199999809265137,5.349999904632568,5.050000190734863,5.25,1416100,35.593218695188966,0,2690.741236520763
2022-12-15,5.0,5.050000190734863,4.71999979019165,4.824999809265137,791060,32.06106370079259,0,2472.919229141813
2022-12-16,4.699999809265137,4.840000152587891,4.599999904632568,4.625,1152020,34.7107387209476,0,2370.4148988397196
2022-12-19,4.695000171661377,4.695000171661377,4.239999771118164,4.349999904632568,616460,31.81817590697686,0,2229.4712613821403
2022-12-20,4.349999904632568,4.65500020980835,4.324999809265137,4.364999771118164,400040,22.813035010480604,1,2237.1590250573972
2022-12-21,4.409999847412109,4.550000190734863,4.355000019073486,4.505000114440918,337500,25.124794864821027,1,2308.9123006584637
2022-12-22,4.349999904632568,4.400000095367432,4.235000133514404,4.380000114440918,373320,17.534725499097803,1,2244.8470331222547
2022-12-23,4.255000114440918,4.400000095367432,4.235000133514404,4.315000057220459,314560,21.085599935811146,1,2211.5330646766743
2022-12-27,4.264999866485596,4.300000190734863,3.900000095367432,3.940000057220459,587700,19.274810862203367,1,2019.3372620680484
2022-12-28,4.050000190734863,4.25,3.974999904632568,4.014999866485596,499600,23.72187660469345,1,2057.7763248339334
2022-12-29,4.065000057220459,4.284999847412109,4.014999866485596,4.215000152587891,439880,26.719063158519944,1,2160.2808995256273
2022-12-30,4.0,4.28000020980835,4.0,4.25,361540,32.798167545680116,0,2178.2190962310938
2023-01-03,4.264999866485596,4.550000190734863,4.054999828338623,4.090000152587891,436860,29.039300127975608,1,2096.215631989419
2023-01-04,4.300000190734863,4.820000171661377,4.195000171661377,4.795000076293945,1082660,42.88225492164619,0,2457.5437017912996
2023-01-05,4.75,4.75,4.449999809265137,4.525000095367432,533160,38.17292184180177,0,2319.1627336886727
2023-01-06,4.630000114440918,4.699999809265137,4.355000019073486,4.574999809265137,498240,45.35315912643419,0,2344.7886940693957
2023-01-09,4.949999809265137,5.699999809265137,4.894999980926514,5.349999904632568,1151140,61.10260236262963,0,2741.9934016718094
2023-01-10,5.400000095367432,5.900000095367432,5.150000095367432,5.900000095367432,1316920,71.89265829714175,-1,3023.8806765869676
2023-01-11,6.099999904632568,6.300000190734863,5.599999904632568,5.849999904632568,1579260,70.76923097443233,-1,3023.8806765869676
2023-01-12,6.400000095367432,7.199999809265137,5.75,7.150000095367432,2910080,77.93030524123076,-1,3023.8806765869676
2023-01-13,6.949999809265137,7.949999809265137,6.769999980926514,7.900000095367432,3066600,82.83581989967738,-1,3023.8806765869676
2023-01-17,9.149999618530272,9.449999809265137,8.449999809265137,9.199999809265137,2948960,87.03563235369504,-1,3023.8806765869676
2023-01-18,9.399999618530272,9.5,7.449999809265137,7.550000190734863,3898400,72.93519952182984,-1,3023.8806765869676
2023-01-19,7.25,8.449999809265137,7.150000095367432,8.300000190734863,2266060,75.0731452610113,-1,3023.8806765869676
2023-01-20,8.300000190734863,9.649999618530272,7.849999904632568,9.600000381469728,3594040,77.91602128439025,-1,3023.8806765869676
2023-01-23,9.850000381469728,10.600000381469728,9.324999809265137,9.899999618530272,3585320,78.5065602888238,-1,3023.8806765869676
2023-01-24,9.699999809265137,10.25,9.550000190734863,9.899999618530272,1722140,79.79487197043315,-1,3023.8806765869676
2023-01-25,9.350000381469728,9.649999618530272,8.449999809265137,9.350000381469728,2388620,73.73632664866665,-1,3023.8806765869676
