Date,Open,High,Low,Close,Volume,SMA_Short,SMA_Long,Signal,Equity
2022-08-31,30.816745913958847,30.816745913958847,30.22686169318529,30.36957550048828,44074500,30.531315803527832,30.800885518391926,-1,6465.598239498232
2022-09-01,30.036574406998323,30.2839458449501,29.617945680102665,30.21734619140625,36440700,30.293460845947266,30.426659266153973,-1,6465.598239498232
2022-09-02,30.645486466608773,30.807231068816066,29.551344934538257,29.70357322692871,34893300,29.96045970916748,30.096831639607746,-1,6465.598239498232
2022-09-06,29.86531482539401,29.86531482539401,28.85680197478343,28.88534545898437,46989600,29.294459342956543,29.602088292439777,-1,6465.598239498232
2022-09-07,28.942434547694237,29.29446364188381,28.59040545350466,29.16126251220703,37329500,29.023303985595703,29.25006039937337,-1,6465.598239498232
2022-09-08,28.894863110848902,29.351548019736743,28.45720537880301,29.256404876708984,37359500,29.208833694458008,29.101004282633465,1,6465.598239498232
2022-09-09,29.675031177265584,29.96997326316683,29.570373547069764,29.931915283203125,34069500,29.594160079956055,29.44986089070638,1,6614.8844868480655
2022-09-12,30.19831684196443,30.31248897147305,29.589403657130266,30.02705955505371,38305500,29.979487419128418,29.738459904988606,1,6635.911152262626
2022-09-13,29.33251686888689,29.427660004910727,27.82926112676438,27.867319107055664,71417900,28.947189331054688,29.275431315104168,-1,6158.613476858017
2022-09-14,28.11468821811124,28.32400347656698,27.60091819628352,27.76266098022461,40767200,27.814990043640137,28.55234654744466,-1,6158.613476858017
2022-09-15,27.73412058280243,27.98149203370225,27.315491833994688,27.439178466796875,39919100,27.600919723510742,27.689719518025715,-1,6158.613476858017
2022-09-16,27.30597786992203,27.895862074220805,27.0395774396134,27.819747924804688,72748000,27.62946319580078,27.67386245727539,-1,6158.613476858017
2022-09-19,27.61043481797541,28.067119720267637,27.496262685050105,28.010034561157227,33151900,27.914891242980957,27.756320317586262,1,6158.613476858017
2022-09-20,27.65800235201021,27.753145482898656,27.31548780669354,27.5533447265625,31129000,27.781689643859863,27.794375737508137,-1,6058.200313713282
